0, 0, Header, 1, 6, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 600000
1, 0, Marker_t, "Beethoven"
1, 1440, Tempo, 508474
1, 1870, Tempo, 517241
1, 1920, Tempo, 508474
1, 1920, Marker_t, "3-March"
1, 3240, Tempo, 571428
1, 3360, Tempo, 508474
1, 3790, Tempo, 517241
1, 3840, Tempo, 508474
1, 3840, Marker_t, "Bunji Hisamori"
1, 5160, Tempo, 582524
1, 5280, Tempo, 508474
1, 5715, Tempo, 517241
1, 5760, Tempo, 508474
1, 5760, Marker_t, "July  '98 "
1, 6660, Tempo, 517241
1, 6720, Tempo, 508474
1, 7642, Tempo, 517241
1, 7680, Tempo, 526315
1, 8540, Tempo, 550458
1, 9000, Tempo, 769230
1, 9120, Tempo, 508474
1, 9547, Tempo, 517241
1, 9600, Tempo, 508474
1, 10920, Tempo, 571428
1, 11040, Tempo, 508474
1, 11460, Tempo, 517241
1, 11520, Tempo, 508474
1, 12840, Tempo, 571428
1, 12960, Tempo, 508474
1, 13380, Tempo, 517241
1, 13440, Tempo, 508474
1, 14340, Tempo, 517241
1, 14400, Tempo, 508474
1, 15307, Tempo, 517241
1, 16200, Tempo, 535714
1, 16680, Tempo, 769230
1, 16800, Tempo, 508474
1, 17160, Tempo, 517241
1, 17280, Tempo, 508474
1, 18180, Tempo, 517241
1, 18240, Tempo, 508474
1, 19140, Tempo, 517241
1, 19200, Tempo, 508474
1, 21067, Tempo, 517241
1, 21120, Tempo, 508474
1, 22020, Tempo, 517241
1, 22080, Tempo, 508474
1, 23002, Tempo, 517241
1, 23040, Tempo, 508474
1, 23940, Tempo, 517241
1, 24000, Tempo, 508474
1, 24907, Tempo, 517241
1, 24960, Tempo, 508474
1, 25860, Tempo, 517241
1, 25920, Tempo, 508474
1, 26827, Tempo, 517241
1, 26880, Tempo, 508474
1, 27780, Tempo, 517241
1, 27840, Tempo, 508474
1, 28747, Tempo, 517241
1, 28800, Tempo, 508474
1, 29220, Tempo, 517241
1, 29280, Tempo, 508474
1, 29700, Tempo, 517241
1, 29760, Tempo, 508474
1, 30172, Tempo, 517241
1, 30240, Tempo, 508474
1, 30660, Tempo, 517241
1, 30720, Tempo, 508474
1, 31080, Tempo, 517241
1, 31200, Tempo, 508474
1, 31620, Tempo, 517241
1, 31688, Tempo, 508474
1, 32040, Tempo, 517241
1, 32520, Tempo, 526315
1, 32640, Tempo, 508474
1, 35460, Tempo, 517241
1, 35520, Tempo, 508474
1, 35880, Tempo, 517241
1, 36000, Tempo, 508474
1, 36360, Tempo, 517241
1, 36480, Tempo, 508474
1, 38760, Tempo, 517241
1, 38880, Tempo, 508474
1, 39720, Tempo, 535714
1, 39840, Tempo, 526315
1, 39960, Tempo, 517241
1, 40260, Tempo, 571428
1, 40320, Tempo, 508474
1, 41760, Tempo, 508474
1, 42187, Tempo, 526315
1, 42240, Tempo, 508474
1, 43560, Tempo, 571428
1, 43680, Tempo, 508474
1, 44107, Tempo, 517241
1, 44160, Tempo, 508474
1, 45480, Tempo, 582524
1, 45600, Tempo, 508474
1, 46020, Tempo, 517241
1, 46080, Tempo, 508474
1, 46980, Tempo, 517241
1, 47040, Tempo, 508474
1, 47940, Tempo, 517241
1, 48000, Tempo, 526315
1, 48830, Tempo, 550458
1, 49320, Tempo, 769230
1, 49440, Tempo, 508474
1, 49860, Tempo, 517241
1, 49920, Tempo, 508474
1, 50820, Tempo, 517241
1, 50880, Tempo, 508474
1, 51780, Tempo, 517241
1, 51840, Tempo, 508474
1, 52740, Tempo, 517241
1, 52800, Tempo, 508474
1, 53160, Tempo, 535714
1, 53280, Tempo, 508474
1, 53640, Tempo, 526315
1, 53760, Tempo, 508474
1, 55440, Tempo, 517241
1, 55560, Tempo, 526315
1, 55680, Tempo, 508474
1, 56580, Tempo, 517241
1, 56640, Tempo, 508474
1, 57540, Tempo, 517241
1, 57600, Tempo, 508474
1, 58500, Tempo, 517241
1, 58560, Tempo, 508474
1, 59460, Tempo, 517241
1, 59520, Tempo, 508474
1, 59880, Tempo, 517241
1, 60000, Tempo, 508474
1, 60420, Tempo, 517241
1, 60480, Tempo, 508474
1, 61372, Tempo, 517241
1, 61440, Tempo, 508474
1, 61867, Tempo, 517241
1, 61920, Tempo, 508474
1, 62340, Tempo, 517241
1, 62400, Tempo, 508474
1, 63307, Tempo, 517241
1, 63360, Tempo, 508474
1, 63720, Tempo, 517241
1, 63840, Tempo, 508474
1, 64260, Tempo, 517241
1, 64320, Tempo, 508474
1, 65212, Tempo, 517241
1, 65280, Tempo, 508474
1, 66180, Tempo, 517241
1, 66240, Tempo, 508474
1, 67140, Tempo, 517241
