0, 0, Header, 0, 1, 120
1, 0, Start_track
1, 0, Control_c, 3, 10, 64
1, 0, Copyright_t, "MIDI file built by MUS2MIDI \270 Reinier Bakels 1996"
1, 0, Title_t, "KV622C00"
1, 0, Control_c, 3, 91, 127
1, 0, Time_signature, 6, 3, 36, 8
1, 0, Tempo, 333333
1, 0, Control_c, 3, 7, 127
1, 0, Control_c, 9, 7, 127
1, 0, Control_c, 4, 10, 0
1, 0, Title_t, "KV622C01"
1, 0, Control_c, 4, 91, 127
1, 0, Control_c, 4, 7, 127
1, 0, Title_t, "KV622C02"
1, 0, Control_c, 5, 10, 42
1, 0, Title_t, "KV622C03"
1, 0, Control_c, 5, 91, 127
1, 0, Control_c, 5, 7, 127
1, 0, Title_t, "KV622C04"
1, 0, Control_c, 6, 10, 85
1, 0, Title_t, "KV622C05"
1, 0, Control_c, 6, 91, 127
1, 0, Control_c, 6, 7, 127
1, 0, Title_t, "KV622C06"
1, 0, Control_c, 7, 10, 127
1, 0, Title_t, "KV622C07"
1, 0, Control_c, 7, 91, 127
1, 0, Control_c, 7, 7, 127
1, 0, Title_t, "KV622C08"
1, 0, Title_t, "KV622C09"
1, 0, Title_t, "KV622C10"
1, 0, Title_t, "KV622C11"
1, 127, Key_signature, 3, "major"
1, 127, Control_c, 3, 0, 0
1, 127, Instrument_name_t, "Clarinet"
1, 127, Program_c, 3, 71
1, 127, Tempo, 500000
1, 127, Control_c, 4, 0, 0
1, 127, Instrument_name_t, "Flute"
1, 127, Program_c, 4, 73
1, 127, Control_c, 5, 0, 0
1, 127, Instrument_name_t, "Bassoon"
1, 127, Program_c, 5, 70
1, 127, Control_c, 6, 0, 1
1, 127, Instrument_name_t, "French Horn"
1, 127, Program_c, 6, 60
1, 127, Control_c, 7, 0, 0
1, 127, Instrument_name_t, "String Ensemble 1"
1, 127, Program_c, 7, 48
1, 427, Note_on_c, 3, 73, 127
1, 457, Note_on_c, 3, 73, 0
1, 457, Note_on_c, 3, 74, 127
1, 487, Note_on_c, 3, 74, 0
1, 487, Note_on_c, 3, 76, 127
1, 487, Note_on_c, 7, 73, 100
1, 487, Note_on_c, 7, 69, 100
1, 517, Note_on_c, 3, 76, 0
1, 517, Note_on_c, 7, 73, 0
1, 517, Note_on_c, 7, 69, 0
1, 547, Note_on_c, 3, 76, 127
1, 577, Note_on_c, 3, 76, 0
1, 607, Note_on_c, 3, 76, 127
1, 607, Note_on_c, 7, 73, 100
1, 607, Note_on_c, 7, 69, 100
1, 637, Note_on_c, 3, 76, 0
1, 637, Note_on_c, 7, 73, 0
1, 637, Note_on_c, 7, 69, 0
1, 667, Note_on_c, 3, 78, 127
1, 667, Note_on_c, 7, 73, 100
1, 667, Note_on_c, 7, 69, 100
1, 697, Note_on_c, 3, 78, 0
1, 697, Note_on_c, 3, 76, 127
1, 697, Note_on_c, 7, 73, 0
1, 697, Note_on_c, 7, 69, 0
1, 727, Note_on_c, 3, 76, 0
1, 727, Note_on_c, 3, 75, 127
1, 727, Note_on_c, 7, 73, 100
1, 727, Note_on_c, 7, 69, 100
1, 757, Note_on_c, 3, 75, 0
1, 757, Note_on_c, 3, 76, 127
1, 757, Note_on_c, 7, 73, 0
1, 757, Note_on_c, 7, 69, 0
1, 787, Note_on_c, 3, 76, 0
1, 787, Note_on_c, 3, 78, 127
1, 787, Note_on_c, 7, 73, 100
1, 787, Note_on_c, 7, 69, 100
1, 817, Note_on_c, 3, 78, 0
1, 817, Note_on_c, 3, 76, 127
1, 817, Note_on_c, 7, 73, 0
1, 817, Note_on_c, 7, 69, 0
1, 847, Note_on_c, 3, 76, 0
1, 847, Note_on_c, 3, 74, 127
1, 847, Note_on_c, 7, 71, 100
1, 847, Note_on_c, 7, 68, 100
1, 847, Note_on_c, 7, 64, 100
1, 1027, Note_on_c, 3, 74, 0
1, 1027, Note_on_c, 3, 73, 127
1, 1027, Note_on_c, 7, 71, 0
1, 1027, Note_on_c, 7, 73, 100
